pmid	verdict	confidence	c1_primary	c2_stool_metagen	c3_case_control	c4_illumina	c5_human	substrate	technology	platform	species	design	mixed_content	reasoning_path
25758642	IN-SCOPE	HIGH	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina (model not stated)	human	cross-sectional-case-control		/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_25758642.md
28300642	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	biopsy	other-targeted-16S-Sanger-of-Brachyspira	not stated (Sanger-style capillary)	human	other-case-series	targeted single-taxon 16S PCR-Sanger typing on colonic biopsies; not community amplicon	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_28300642.md
28940471	OUT-OF-SCOPE	HIGH	PASS	FAIL	PASS	FAIL	PASS	tumor-and-adjacent-tissue	other-LC-MS/MS-methylation	none (LC-MS/MS)	human	tumour-vs-adjacent-normal	host DNA methylation biomarker via LC-MS/MS; no sequencing	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_28940471.md
29517944	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	biopsy	16S	not stated	other-rhesus-macaque	intervention	nonhuman primate chronic ethanol biopsy 16S; no human component	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29517944.md
29689266	IN-SCOPE	MEDIUM	PASS	PASS	PASS	PASS	PASS	stool	shotgun-WGS	Illumina (Nextera/TruSeq adapters; model not stated in main text)	human	cross-sectional-case-control	discovery cohort partly reuses previously-published HK metagenomes plus 37 new controls; 3 validation cohorts	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29689266.md
30007819	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	PASS	rectal-swab	16S	not stated (V1-V2 paired-end suggests MiSeq)	human	cross-sectional-case-control	prostate cancer study on rectal swab, not stool; not CRC endpoint	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30007819.md
30292635	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	FAIL	mixed	16S	Illumina MiSeq	mixed-human-and-mouse	other-mouse-genotype-comparison	human sub-cohort tissue-only qPCR; only mouse fecal 16S — no human stool sequencing	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30292635.md
30710467	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	PASS	other-none	other-none	none (no sequencing)	human	other-public-opinion-survey	hypothetical WGS behavioral survey; no biology	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30710467.md
30725462	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	NOT-STATED	other-none	other-none	N/A	other-N/A	other-methods-review	MMB book chapter / methods review; no primary cohort	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30725462.md
30776583	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	tumor-and-adjacent-normal-tissue	16S	Illumina MiSeq	human	other-CRC-only-3-birth-cohort-strata	Chinese Famine birth-year CRC-only cohort; tumor tissue 16S; no healthy controls	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30776583.md
