pmid	verdict	confidence	c1_primary	c2_stool_metagen	c3_case_control	c4_illumina	c5_human	substrate	technology	platform	species	design	disease	mixed_content	reasoning_path
28869607	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	FAIL	tissue	RNA-Seq	Illumina HiSeq 2000	mixed-human-and-mouse	molecular+xenograft	CRC molecular	human CRC tissue RT-PCR + cell lines + mouse xenograft	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_28869607.md
29120399	UNCERTAIN	LOW	NOT-STATED	PARTIAL	PARTIAL	NOT-STATED	PASS	stool	metagenomic	not-stated	human	adenoma-vs-healthy + tumor-vs-normal	adenoma+CRC	only supp tables extracted; adenoma-vs-healthy stool metagenomics; main text missing	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29120399.md
29297304	OUT-OF-SCOPE	HIGH	FAIL	FAIL	FAIL	NOT-STATED	NOT-STATED	none	computational	n/a	n/a	prediction-model	CRC(prediction)	no primary data; HMDAD database mining	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29297304.md
29517944	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	NOT-STATED	FAIL	biopsy	16S	not-stated	rhesus macaque	intervention	ethanol/AUD	nonhuman primate intestinal biopsies; ethanol intervention	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29517944.md
29755661	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	FAIL	PASS	tumor DNA	targeted amplicon panel	Ion Torrent Ampliseq	human	tumor CNA discovery	colon cancer	somatic CNA discovery on tumor DNA (Ion Torrent)	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29755661.md
29988362	OUT-OF-SCOPE	HIGH	PASS	PARTIAL	FAIL	NOT-STATED	FAIL	stool (mouse)	16S	not-stated	mouse	intervention	metformin/healthy	mouse metformin intervention	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_29988362.md
30112118	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	FAIL	SHIME in-vitro	16S	Illumina	in-vitro colon model	intervention	5-FU/vancomycin	SHIME in-vitro reactors	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30112118.md
30228361	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	PASS	PASS	biopsy	16S	Illumina MiSeq	human	nested-case-control	polyps	own biopsy 16S + meta-analysis of public CRC 16S	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30228361.md
30412600	OUT-OF-SCOPE	HIGH	FAIL	PASS	PARTIAL	PARTIAL	PASS	mixed (biopsy+stool public)	16S	454/Illumina	human	re-analysis	CRC	re-analysis-only of 10+ public CRC 16S datasets	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30412600.md
30576312	OUT-OF-SCOPE	HIGH	PASS	FAIL	PARTIAL	PASS	PASS	biopsy	16S	Illumina	human	nested-case-control	CRC	CRC tumor + adjacent normal tissue 16S	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30576312.md
30776583	OUT-OF-SCOPE	HIGH	PASS	FAIL	FAIL	PASS	PASS	tumor+adjacent tissue	16S	Illumina MiSeq	human	CRC-birth-cohort stratification	CRC	tumor + adjacent normal tissue 16S; CRC-only stratified by famine birth year	/scratch/karcher/seq_metadata_curator/data/prefilter/reasoning/PMID_30776583.md
